month,dtrips,discards.num,landings.num,dprop,cpue
1,13426.18811,57251.08245,1097.559389,0.981189633,4.345882939
2,12624.45469,70474.06503,67.021894,0.999049889,5.587654172
3,9213.787503,24187.32212,0,1,2.625122634
4,17897.38634,32647.35687,1534.022966,0.955121093,1.909853158
5,24723.90727,47764.37395,27.68525625,0.999420714,1.933030192
6,28555.76804,59836.68336,692.8185277,0.988554036,2.11969441
7,46616.31466,71398.86523,23062.69976,0.755850967,2.02636278
8,20530.92105,38521.44182,811.8066315,0.979360804,1.915805353
9,13663.499,20948.32701,0,1,1.533159771
10,8006.963467,10385.90057,29.67370657,0.997151025,1.300814512
11,8947.500458,10865.42987,113.5462133,0.98965785,1.227043925
12,13061.25224,34252.97614,705.2517361,0.979825873,2.676483636
