mean,median,sd,formula,cv,ages,seasons,par,age_bin,time_bin
0.884682126,0.8848695,0.01819939,S g12 c1 a12 t1,0.020571672,12,1,S,"[1,2]",preseason
0.936894736,0.9378329,0.01500145,S g12 c1 a16 t5,0.016011885,16,5,S,"[1,2]",fishing
0.693746529,0.7006709,0.049188512,S g12 c1 a20 t9,0.070902714,20,9,S,"[1,2]",postseason
0.78919541,0.789468,0.019888141,S g13 c1 a25 t11,0.025200528,25,11,S,"(2,6]",postseason
0.961070824,0.9602617,0.0072011,S g17 c1 a25 t8,0.007492788,25,8,S,"(2,6]",fishing
0.926380328,0.926591,0.012299313,S g21 c1 a25 t4,0.013276743,25,4,S,"(2,6]",preseason
0.796518521,0.8151853,0.110375478,S g61 c1 a73 t12,0.138572394,73,12,S,"(6,25]",postseason
0.959089862,0.9691279,0.03006926,S g64 c1 a73 t8,0.03135187,73,8,S,"(6,25]",fishing
0.924141077,0.9408959,0.051693421,S g69 c1 a73 t3,0.05593672,73,3,S,"(6,25]",preseason
0.565999291,0.535746,0.120348314,r g17 c1 a25 t8,0.212629797,25,8,r,"(2,6]",fishing
0.345789767,0.2295518,0.315758078,r g64 c1 a73 t8,0.913150441,73,8,r,"(6,25]",fishing
0.035148604,0.0355669,0.003737363,R g12 c1 a12 t1,0.106330334,12,1,R,"[1,2]",preseason
0.053201718,0.0537928,0.005153419,R g12 c1 a16 t5,0.096865646,16,5,R,"[1,2]",fishing
0.024198619,0.023784,0.003134428,R g12 c1 a20 t9,0.129529224,20,9,R,"[1,2]",postseason
0.030232618,0.0302676,0.002603784,R g13 c1 a25 t11,0.086124994,25,11,R,"(2,6]",postseason
0.066032569,0.0663773,0.002872558,R g17 c1 a25 t8,0.043502134,25,8,R,"(2,6]",fishing
0.043917925,0.0435674,0.004063774,R g21 c1 a25 t4,0.092531092,25,4,R,"(2,6]",preseason
0.016024209,0.0152474,0.004943263,R g61 c1 a73 t12,0.308487205,73,12,R,"(6,25]",postseason
0.035567346,0.0337544,0.010246072,R g64 c1 a73 t8,0.28807524,73,8,R,"(6,25]",fishing
0.023392591,0.0219917,0.006957051,R g69 c1 a73 t3,0.297404046,73,3,R,"(6,25]",preseason
0,0,0,p g12 c1 a13 t2,NA,13,2,p,"[1,2]",preseason
1.00E-04,1.00E-04,0,r g12 c1 a12 t1,0,12,1,r,"[1,2]",preseason
1,1,0,F g12 c1 a12 t1,0,12,1,F,"[1,2]",preseason
