marks,trial,ntimes,run.num,fold,dir,full.dir
0.02,1,12,1,p.trips_0.02/run_1,C:/Users/lkehoe/Documents/GitHub/tag_sim/output/update_gene_v3/p.trips_0.02,C:/Users/lkehoe/Documents/GitHub/tag_sim/output/update_gene_v3/p.trips_0.02/run_1
0.02,2,12,2,p.trips_0.02/run_2,C:/Users/lkehoe/Documents/GitHub/tag_sim/output/update_gene_v3/p.trips_0.02,C:/Users/lkehoe/Documents/GitHub/tag_sim/output/update_gene_v3/p.trips_0.02/run_2
0.02,3,12,3,p.trips_0.02/run_3,C:/Users/lkehoe/Documents/GitHub/tag_sim/output/update_gene_v3/p.trips_0.02,C:/Users/lkehoe/Documents/GitHub/tag_sim/output/update_gene_v3/p.trips_0.02/run_3
0.02,4,12,4,p.trips_0.02/run_4,C:/Users/lkehoe/Documents/GitHub/tag_sim/output/update_gene_v3/p.trips_0.02,C:/Users/lkehoe/Documents/GitHub/tag_sim/output/update_gene_v3/p.trips_0.02/run_4
0.02,5,12,5,p.trips_0.02/run_5,C:/Users/lkehoe/Documents/GitHub/tag_sim/output/update_gene_v3/p.trips_0.02,C:/Users/lkehoe/Documents/GitHub/tag_sim/output/update_gene_v3/p.trips_0.02/run_5
0.02,6,12,6,p.trips_0.02/run_6,C:/Users/lkehoe/Documents/GitHub/tag_sim/output/update_gene_v3/p.trips_0.02,C:/Users/lkehoe/Documents/GitHub/tag_sim/output/update_gene_v3/p.trips_0.02/run_6
0.02,7,12,7,p.trips_0.02/run_7,C:/Users/lkehoe/Documents/GitHub/tag_sim/output/update_gene_v3/p.trips_0.02,C:/Users/lkehoe/Documents/GitHub/tag_sim/output/update_gene_v3/p.trips_0.02/run_7
0.02,8,12,8,p.trips_0.02/run_8,C:/Users/lkehoe/Documents/GitHub/tag_sim/output/update_gene_v3/p.trips_0.02,C:/Users/lkehoe/Documents/GitHub/tag_sim/output/update_gene_v3/p.trips_0.02/run_8
0.025,9,12,1,p.trips_0.025/run_1,C:/Users/lkehoe/Documents/GitHub/tag_sim/output/update_gene_v3/p.trips_0.025,C:/Users/lkehoe/Documents/GitHub/tag_sim/output/update_gene_v3/p.trips_0.025/run_1
0.025,10,12,2,p.trips_0.025/run_2,C:/Users/lkehoe/Documents/GitHub/tag_sim/output/update_gene_v3/p.trips_0.025,C:/Users/lkehoe/Documents/GitHub/tag_sim/output/update_gene_v3/p.trips_0.025/run_2
0.025,11,12,3,p.trips_0.025/run_3,C:/Users/lkehoe/Documents/GitHub/tag_sim/output/update_gene_v3/p.trips_0.025,C:/Users/lkehoe/Documents/GitHub/tag_sim/output/update_gene_v3/p.trips_0.025/run_3
0.025,12,12,4,p.trips_0.025/run_4,C:/Users/lkehoe/Documents/GitHub/tag_sim/output/update_gene_v3/p.trips_0.025,C:/Users/lkehoe/Documents/GitHub/tag_sim/output/update_gene_v3/p.trips_0.025/run_4
0.025,13,12,5,p.trips_0.025/run_5,C:/Users/lkehoe/Documents/GitHub/tag_sim/output/update_gene_v3/p.trips_0.025,C:/Users/lkehoe/Documents/GitHub/tag_sim/output/update_gene_v3/p.trips_0.025/run_5
0.025,14,12,6,p.trips_0.025/run_6,C:/Users/lkehoe/Documents/GitHub/tag_sim/output/update_gene_v3/p.trips_0.025,C:/Users/lkehoe/Documents/GitHub/tag_sim/output/update_gene_v3/p.trips_0.025/run_6
0.03,15,12,1,p.trips_0.03/run_1,C:/Users/lkehoe/Documents/GitHub/tag_sim/output/update_gene_v3/p.trips_0.03,C:/Users/lkehoe/Documents/GitHub/tag_sim/output/update_gene_v3/p.trips_0.03/run_1
0.03,16,12,2,p.trips_0.03/run_2,C:/Users/lkehoe/Documents/GitHub/tag_sim/output/update_gene_v3/p.trips_0.03,C:/Users/lkehoe/Documents/GitHub/tag_sim/output/update_gene_v3/p.trips_0.03/run_2
0.03,17,12,3,p.trips_0.03/run_3,C:/Users/lkehoe/Documents/GitHub/tag_sim/output/update_gene_v3/p.trips_0.03,C:/Users/lkehoe/Documents/GitHub/tag_sim/output/update_gene_v3/p.trips_0.03/run_3
0.03,18,12,4,p.trips_0.03/run_4,C:/Users/lkehoe/Documents/GitHub/tag_sim/output/update_gene_v3/p.trips_0.03,C:/Users/lkehoe/Documents/GitHub/tag_sim/output/update_gene_v3/p.trips_0.03/run_4
0.03,19,12,5,p.trips_0.03/run_5,C:/Users/lkehoe/Documents/GitHub/tag_sim/output/update_gene_v3/p.trips_0.03,C:/Users/lkehoe/Documents/GitHub/tag_sim/output/update_gene_v3/p.trips_0.03/run_5
0.03,20,12,6,p.trips_0.03/run_6,C:/Users/lkehoe/Documents/GitHub/tag_sim/output/update_gene_v3/p.trips_0.03,C:/Users/lkehoe/Documents/GitHub/tag_sim/output/update_gene_v3/p.trips_0.03/run_6
0.03,21,12,7,p.trips_0.03/run_7,C:/Users/lkehoe/Documents/GitHub/tag_sim/output/update_gene_v3/p.trips_0.03,C:/Users/lkehoe/Documents/GitHub/tag_sim/output/update_gene_v3/p.trips_0.03/run_7
0.03,8,12,8,p.trips_0.03/run_8,C:/Users/lkehoe/Documents/GitHub/tag_sim/output/update_gene_v3/p.trips_0.03,C:/Users/lkehoe/Documents/GitHub/tag_sim/output/update_gene_v3/p.trips_0.03/run_8
